name,lon,lat
Bathurst Regional,149.5243730119189,-33.431982937338745
Coomalie,131.0852391135591,-13.127611200517203
Colac-Otway,143.59578636673893,-38.4468930894625
Cranbrook,117.28057818457489,-34.31569891088024
Kondinin,119.18282624491289,-32.42717807803082
Wudinna,135.31304287252183,-33.027350830294885
Coorow,115.76013996047689,-30.020881478728356
Murchison,116.30141367220443,-26.74879819139234
Mingenew,115.48365295347178,-29.157771972426104
Mount Isa,138.77992633742568,-19.95259592570536
Moreland,144.94522176468925,-37.73467759097154
Clare and Gilbert Valleys,138.733128741573,-33.99751246186939
Capel,115.63840795203316,-33.5301711742052
Leonora,121.14331477690773,-28.213921900000855
Burnside,138.65539185513475,-34.94044644912719
Wyndham-East Kimberley,127.05889266401473,-15.563264383237277
Wakefield,138.35330645776895,-33.9952124205499
Blacktown,150.86131021676212,-33.75031660889384
Glen Eira,145.04123023091833,-37.89827701650129
East Pilbara,123.5918716991061,-21.783500772955644
Wellington,146.92057584926906,-37.883347647164634
Narembeen,118.65353408431002,-32.045708533971535
Exmouth,114.16455512501952,-22.523210589960794
Surf Coast,144.05737040921574,-38.31420340786522
Glenelg,141.38271385696558,-37.872809825961696
Sutherland Shire,151.03942803518876,-34.074723362158224
Tatiara,140.58450581475904,-36.22413575726819
Doomadgee,138.78263243947285,-17.593417585652915
Cabonne,148.75654004047482,-33.15190310313704
Moonee Valley,144.89320573215102,-37.757981567512566
Singleton,150.96521739189478,-32.66472362616632
Mukinbudin,118.30978851245376,-30.631136136591774
Burwood,151.10349514948302,-33.88407534019986
Tumby Bay,136.0197659692275,-34.18032888168498
Upper Gascoyne,116.35767967611142,-24.726248364866215
Mitcham,138.62225988153173,-34.99705971056659
Moyne,142.4896017462229,-38.122291167117325
Dungog,151.59950316380602,-32.340887696260936
Central Goldfields,143.71269538269576,-37.01239252223931
King Island,143.98551271085245,-39.860144385640595
Tammin,117.4975245578196,-31.60645199813734
Karoonda East Murray,140.0203196696109,-34.94979885816852
Sunshine Coast,152.89310301827203,-26.69429222586686
Hawkesbury,150.7741561474839,-33.34490581330671
Busselton,115.35830329769654,-33.72171546615167
Donnybrook-Balingup,115.97054294541648,-33.671014404823474
