decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus,eventRemarks,eventTime,eventID,samplingEffort,samplingProtocol,basisOfRecord,recordedBy,recordedByID,eventType
-35.14,150.73,2009-04-11T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,996fd6bb-3c8d-4c3e-af6f-7293452c2f17,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002391,NA,NA,HUMAN_OBSERVATION,Jch,NA,NA
-35.14,138.46,2016-03-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,492d304f-63b5-488c-924f-0f8533cba5f7,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349783,NA,NA,HUMAN_OBSERVATION,Jbb,NA,NA
-35.13249,150.7125,NA,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,10473d4f-f653-4108-8576-c10d4b3a7e94,Australian Museum provider for OZCAM,PRESENT,NA,NA,urn:australianmuseum.net.au:Events:10038528,NA,NA,PRESERVED_SPECIMEN,"Fairfax, D.",NA,NA
-35.13,150.73,2013-04-04T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,91c63833-00c5-46e2-872e-807cc4054914,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912343451,NA,NA,HUMAN_OBSERVATION,Ger,NA,NA
-35.13,150.75,2011-04-16T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,b1e77bdc-7a23-4b6f-b3da-692c647b7417,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002680,NA,NA,HUMAN_OBSERVATION,Mgm,NA,NA
-35.13,150.74,2010-03-27T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,070fd2fa-2094-4fe0-9ced-e35879be4355,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001842,NA,NA,HUMAN_OBSERVATION,Jch,NA,NA
-35.13,150.73,2016-04-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,0b42a422-d58b-4c93-b081-77a15ad44d94,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912346594,NA,NA,HUMAN_OBSERVATION,Ja,NA,NA
-35.13,150.73,2016-04-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fb2544fc-6b61-427b-8f1f-5f92d69b3f91,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912346593,NA,NA,HUMAN_OBSERVATION,Ma,NA,NA
-35.12,150.76,2011-04-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d6c983f4-8f08-47c7-8bcc-e36abfeea3cd,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002681,NA,NA,HUMAN_OBSERVATION,Ims,NA,NA
-35.12,150.76,2011-04-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,3263d04e-2f99-4cea-9d37-0574ecef7f05,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002700,NA,NA,HUMAN_OBSERVATION,Ajg,NA,NA
-35.11,150.77,2009-03-16T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,41844be0-f058-4b9e-b169-e44508425aa1,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001486,NA,NA,HUMAN_OBSERVATION,Mld,NA,NA
-35.11,150.77,2009-08-28T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4d01cabd-4963-46d8-ab31-28aa06f8a5d3,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2001320,NA,NA,HUMAN_OBSERVATION,Stn,NA,NA
-35.11,150.77,2011-04-16T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ade08e0b-d945-471b-91e3-440046bac222,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,2002674,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-35.1,138.47,2016-03-11T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,b782a6b6-a06c-4b7b-8dc3-7c5a95cee95d,Reef Life Survey: Global reef fish dataset,PRESENT,NA,NA,912349817,NA,NA,HUMAN_OBSERVATION,Sjo,NA,NA
-35.09499,117.95638,1974-08-12T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,635bc344-40d0-4e59-a5ef-a4a56eedb354,Australian Museum provider for OZCAM,PRESENT,NA,NA,urn:australianmuseum.net.au:Events:10035145,NA,NA,PRESERVED_SPECIMEN,"Kerslake, J.",NA,NA
