year,month,sa2_code_tra,stop_activity,trips,n_sample
2014,January,11040,6,20.9702785,10
2014,January,11042,1,2.2442674,2
2014,January,11042,2,0.4882971,1
2014,January,11042,6,2.7325645,3
2014,January,11043,6,1.5280008,1
2014,January,11044,1,5.0982533000000005,3
2014,January,11044,2,9.5791,3
2014,January,11044,5,1.3267039999999999,1
2014,January,11044,6,5.0982533000000005,3
2014,January,11046,1,2.3343548999999997,1
2014,January,11046,5,2.3343548999999997,1
2014,January,11046,6,2.3343548999999997,1
2014,January,11046,7,5.533298800000001,1
2014,January,11048,1,2.9736823999999995,1
2014,January,11048,6,4.9589077999999995,2
2014,January,11049,1,1.2206796999999998,1
2014,January,11049,6,1.2206796999999998,1
2014,January,11051,6,1.4428348999999998,1
2014,January,11052,1,1.8056166999999999,1
2014,January,11052,6,1.8056166999999999,1
2014,January,11053,1,28.811075900000006,13
2014,January,11053,2,12.441323299999997,5
2014,January,11053,3,5.318885699999999,2
2014,January,11053,5,9.655594600000002,4
2014,January,11053,6,30.4269303,14
2014,January,11054,1,2.5559568999999995,1
2014,January,11054,2,2.5559568999999995,1
2014,January,11054,6,3.3186781999999995,2
2014,January,11057,1,6.2584303,3
2014,January,11057,2,3.5838200000000002,2
2014,January,11057,5,5.7256327,2
2014,January,11057,6,12.5897556,6
2014,January,11060,6,0.7545700999999999,1
2014,January,11061,1,13.855074000000002,1
2014,January,11061,2,3.2792528999999995,1
2014,January,11061,5,13.855074000000002,1
2014,January,11061,6,13.855074000000002,1
2014,January,11062,2,1.71034,1
2014,January,11062,3,1.71034,1
2014,January,11062,6,5.348034799999999,2
2014,January,11063,1,3.1094068,1
2014,January,11063,2,5.959650000000001,3
2014,January,11063,6,9.6017046,5
2014,January,11063,7,0.5745990000000001,1
2014,January,11064,1,2.1944893999999997,1
2014,January,11064,2,8.280163199999999,3
2014,January,11064,3,2.4590237,2
2014,January,11064,6,10.7391869,5
2014,January,11065,1,1.1538355999999999,1
2014,January,11065,2,1.1538355999999999,1
2014,January,11065,6,4.4927018,2
