"lat","lon","year","eventDate","scientificName"
-16,128.9,2024,2024-01-01 09:19:00,"Chloebia gouldiae"
-15.993036,133.42461,2024,2024-02-04 15:19:00,"Chloebia gouldiae"
-15.993036,133.42461,2024,2024-02-04 15:19:00,"Chloebia gouldiae"
-15.9,128,2024,2024-04-25 06:25:00,"Chloebia gouldiae"
-15.9,128,2024,2024-04-24 06:54:00,"Chloebia gouldiae"
-15.9,128,2024,2024-04-23 14:12:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-02-04 16:18:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-22 10:10:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-22 10:10:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-21 14:40:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-22 10:10:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-02-04 16:18:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-21 14:40:00,"Chloebia gouldiae"
-15.859483,133.404563,2024,2024-03-21 14:40:00,"Chloebia gouldiae"
-15.8,128.7,2024,2024-02-02 04:33:00,"Chloebia gouldiae"
-15.8,128.4,2024,2024-03-11 10:38:00,"Chloebia gouldiae"
-15.8,126.4,2024,2024-05-26 16:32:00,"Chloebia gouldiae"
-15.8,128.4,2024,2024-03-11 10:38:00,"Chloebia gouldiae"
-15.8,128.7,2024,2024-01-27 05:10:00,"Chloebia gouldiae"
-15.8,128.4,2024,2024-03-10 06:48:00,"Chloebia gouldiae"
-15.8,128.4,2024,2024-03-10 06:48:00,"Chloebia gouldiae"
-15.780448,130.65601,2024,2024-09-21 07:12:00,"Chloebia gouldiae"
-15.780249,130.654808,2024,2024-05-28 14:23:00,"Chloebia gouldiae"
-15.780249,130.654808,2024,2024-05-28 14:23:00,"Chloebia gouldiae"
-15.7,128.7,2024,2024-03-21 14:10:00,"Chloebia gouldiae"
-15.7,128.7,2024,2024-03-21 14:10:00,"Chloebia gouldiae"
-15.7,126.4,2024,2024-05-21 06:20:00,"Chloebia gouldiae"
-15.7,126.4,2024,2024-05-29 06:30:00,"Chloebia gouldiae"
-15.7,128.1,2024,2024-05-11 10:20:00,"Chloebia gouldiae"
-15.6203,130.4471,2024,2024-05-28 16:46:00,"Chloebia gouldiae"
-15.6203,130.4471,2024,2024-05-28 16:46:00,"Chloebia gouldiae"
-15.615399,131.128235,2024,2024-05-02 14:58:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-02-02 17:10:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-04-11 08:18:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-02-01 17:07:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-06-03 08:02:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-04-25 07:43:00,"Chloebia gouldiae"
-15.6,128,2024,2024-07-30 06:21:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-05-11 08:53:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-04-01 07:45:00,"Chloebia gouldiae"
-15.6,128,2024,2024-09-06 07:11:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-05-11 06:13:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-04-22 06:15:00,"Chloebia gouldiae"
-15.6,128.1,2024,2024-06-03 08:10:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-05-23 06:49:00,"Chloebia gouldiae"
-15.6,128.2,2024,2024-05-02 11:52:00,"Chloebia gouldiae"
-15.595553,130.319014,2024,2024-04-16 17:30:00,"Chloebia gouldiae"
-15.511286,129.842992,2024,2024-07-30 08:09:41,"Chloebia gouldiae"
-15.5,128.2,2024,2024-07-23 07:17:00,"Chloebia gouldiae"
-15.5,128.1,2024,2024-06-03 08:08:00,"Chloebia gouldiae"
-15.5,128.1,2024,2024-06-04 07:32:00,"Chloebia gouldiae"
-15.5,128.1,2024,2024-06-02 06:47:00,"Chloebia gouldiae"
